default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
0,1,2,9.24285000,9.416,0.840,1344.42090,5880.00,1.02,1.14,0.140,,,,0.100,,4.5000,,
0,1,2,9.24318000,11.209,1.000,1315.81620,,1.16,1.10,,,0.170,4.35,4.000,1.0000,,,
0,1,2,9.24285000,13.002,1.160,1608.21980,5880.00,1.34,1.11,0.140,[Fe/H],,4.23,5.900,0.6500,,,
1,1,2,1675.00000000,,,,,,1.14,,,,,,,,,
0,1,1,2.72474000,14.572,1.300,705.58260,6200.00,1.95,1.29,0.000,,,,4.100,,11.0000,,
1,1,1,2.72474000,14.572,1.300,718.29580,6200.00,1.95,1.29,0.000,[Fe/H],,3.70,4.100,0.2550,11.0000,,101.00
1,1,1,9.75598000,4.880,0.435,12.20000,5939.00,1.14,1.10,0.170,[Fe/H],,4.36,3.300,1.0270,4.0000,,
0,1,1,3.63130000,11.769,1.050,982.09470,5900.00,1.61,1.14,0.050,,,,7.200,,9.0000,,
1,1,1,3.63130000,11.770,1.050,889.90000,5900.00,1.61,1.14,0.050,[Fe/H],,4.30,7.200,0.5000,9.0000,,-35.18
0,1,1,3.63130000,13.227,1.180,972.55980,5900.00,1.74,1.12,0.050,[Fe/H],,4.01,5.400,0.3010,,,
1,1,2,5.11340000,3.700,0.330,5.70000,4950.00,0.86,0.91,0.300,[Fe/H],,4.55,11.000,,2.0000,,51.37
1,1,2,11.75900000,5.000,0.440,28.00000,4950.00,0.86,0.91,0.300,[Fe/H],,4.55,11.000,,2.0000,,51.37
0,1,1,4.86069000,12.106,1.080,93.12419,6040.00,1.19,1.09,0.010,,,,4.500,,4.3000,,
1,1,1,4.86069000,12.110,1.080,85.81000,6040.00,1.19,1.09,-0.010,[Fe/H],,4.31,4.500,,4.3000,,-15.42
0,1,1,4.20474000,14.123,1.260,184.34140,5590.00,1.79,1.09,0.010,,,,8.600,,2.0000,,
1,1,1,4.20474000,14.120,1.260,165.26000,5590.00,1.79,1.09,0.010,[Fe/H],,3.99,8.600,,2.0000,,15.51
0,1,1,3.57532000,11.287,1.007,3273.64900,5900.00,1.08,1.05,0.100,,,,4.200,,4.0000,,
1,1,1,3.57532000,11.287,1.007,3302.11000,5900.00,1.08,1.05,-0.100,[M/H],,4.40,4.210,1.2400,4.0000,,-4.09
1,1,1,5.20851000,10.705,0.955,153.82972,5150.00,1.78,1.01,0.150,[Fe/H],,3.60,12.000,0.2700,3.0000,,
0,1,1,5.20851000,10.705,0.955,152.87623,5150.00,1.78,1.01,0.150,,,,12.000,,3.0000,,
0,1,1,2.85057000,10.088,0.900,266.97720,5260.00,0.90,0.97,0.200,,,,4.000,,3.5000,,
0,1,1,2.85056150,,,,5268.00,1.08,0.90,,,-0.094,4.33,,1.0151,,,
1,1,1,2.85057000,10.088,0.900,270.15550,5260.00,0.90,0.97,0.200,[Fe/H],,4.30,4.500,1.8250,3.5000,,
